time,lat,lng,x_g,y_g,z_g
293347,33.099498,-96.092300,0.04,-0.18,0.97
293935,33.099498,-96.092300,0.04,-0.17,0.97
294591,33.099498,-96.092300,0.04,-0.17,0.96
295141,33.099498,-96.092300,0.04,-0.17,0.96
295795,33.099498,-96.092300,0.04,-0.17,0.88
296345,33.099498,-96.092300,0.06,-0.13,0.90
296930,33.099498,-96.092300,0.03,-0.17,0.99
297586,33.099498,-96.092300,0.04,-0.18,0.96
298136,33.099498,-96.092300,0.06,-0.15,0.92
298791,33.099498,-96.092300,0.05,-0.18,1.01
299340,33.099498,-96.092300,0.06,-0.18,0.96
299947,33.099498,-96.092300,0.06,-0.13,0.97
300603,33.099498,-96.092300,-0.00,-0.13,0.96
301153,33.099498,-96.092300,0.00,-0.20,0.98
301807,33.099498,-96.092300,0.02,-0.18,0.94
302358,33.099498,-96.092300,0.03,-0.19,0.98
302942,33.099498,-96.092300,0.04,-0.20,0.96
time,lat,lng,x_g,y_g,z_g
164,0.000000,0.000000,0.03,-0.12,0.72
710,0.000000,0.000000,0.02,-0.22,1.05
1368,33.099506,-96.092277,0.05,-0.18,1.02
1918,33.099506,-96.092277,0.05,-0.19,0.97
2586,33.099506,-96.092277,0.05,-0.18,0.96
3137,33.099506,-96.092277,0.05,-0.17,0.96
3698,33.099506,-96.092277,0.05,-0.17,0.96
4366,33.099506,-96.092277,0.05,-0.09,0.99
4918,33.099506,-96.092277,0.02,-0.07,0.98
5584,33.099506,-96.092277,0.06,-0.11,1.00
6136,33.099506,-96.092277,0.03,-0.25,0.93
6704,33.099506,-96.092277,0.05,-0.30,0.93
7384,33.099506,-96.092277,0.04,-0.08,0.95
7933,33.099506,-96.092277,0.04,-0.10,0.97
8601,33.099506,-96.092277,0.13,-0.35,1.03
9152,33.099506,-96.092277,0.01,-0.29,0.97
9713,33.099506,-96.092277,0.00,-0.14,0.98
10379,33.099506,-96.092277,0.03,-0.14,0.98
10930,33.099506,-96.092277,0.04,-0.13,0.92
11597,33.099506,-96.092277,0.08,-0.21,1.09
12147,33.099506,-96.092277,0.08,-0.17,1.01
12709,33.099506,-96.092277,0.05,-0.12,1.03
13377,33.099506,-96.092277,0.06,-0.05,0.99
13928,33.099506,-96.092277,0.05,-0.13,1.01
14607,33.099506,-96.092277,0.04,-0.14,0.95
15158,33.099506,-96.092277,0.10,-0.16,0.98
15711,33.099506,-96.092277,0.06,-0.24,0.93
16379,33.099510,-96.092422,0.04,-0.21,0.98
16931,33.099510,-96.092422,0.02,-0.13,0.96
17598,33.099510,-96.092422,0.03,-0.14,0.95
18149,33.099510,-96.092422,0.00,-0.27,0.98
18696,33.099510,-96.092422,-0.00,-0.23,0.98
19366,33.099514,-96.092422,-0.02,-0.23,0.96
19916,33.099514,-96.092422,-0.04,-0.26,0.96
20585,33.099514,-96.092422,-0.08,-0.24,0.96
21136,33.099514,-96.092422,-0.05,-0.24,0.94
21725,33.099514,-96.092422,-0.05,-0.20,0.94
22392,33.099514,-96.092422,0.02,-0.22,0.99
22944,33.099514,-96.092422,0.00,-0.17,0.98
23611,33.099514,-96.092422,0.03,-0.28,0.96
24162,33.099514,-96.092422,-0.00,-0.23,0.97
24714,33.099514,-96.092422,0.02,-0.22,1.00
25382,33.099323,-96.092391,-0.00,-0.12,1.02
25933,33.099323,-96.092391,0.03,-0.11,1.00
26602,33.099323,-96.092391,0.06,-0.11,1.01
27153,33.099323,-96.092391,0.04,-0.12,0.97
27721,33.099323,-96.092391,0.03,-0.10,0.93
28401,33.099323,-96.092391,0.08,-0.10,1.02
28952,33.099323,-96.092391,0.06,-0.06,1.01
29621,33.099323,-96.092391,0.08,-0.06,0.98
30172,33.099323,-96.092391,0.04,-0.11,0.96
30735,33.099323,-96.092391,-0.06,-0.09,0.97
31404,33.099323,-96.092391,-0.09,-0.10,0.98
31954,33.099323,-96.092391,-0.19,-0.13,0.97
32623,33.099323,-96.092391,-0.26,-0.25,1.12
33191,33.099323,-96.092391,-0.15,-0.22,0.91
33742,33.099323,-96.092391,-0.18,-0.21,0.99
34411,33.099323,-96.092391,-0.14,-0.18,1.00
34962,33.099323,-96.092391,-0.10,-0.17,0.99
35668,33.099323,-96.092391,-0.04,-0.15,0.94
36336,33.099323,-96.092391,0.01,-0.16,0.93
36887,33.099323,-96.092391,0.01,-0.15,0.93
37556,33.099323,-96.092391,-0.02,-0.17,0.95
38107,33.099323,-96.092391,0.01,-0.12,0.99
38715,33.099323,-96.092391,-0.06,-0.11,0.97
39384,33.099323,-96.092391,-0.06,-0.13,0.96
39934,33.099323,-96.092391,-0.06,-0.15,0.99
40603,33.099323,-96.092391,-0.00,-0.11,0.94
41154,33.099323,-96.092391,0.00,-0.14,0.98
41731,33.099323,-96.092391,0.05,-0.10,0.91
42411,33.099323,-96.092391,-0.00,-0.12,0.90
42961,33.099323,-96.092391,0.06,-0.09,1.02
43629,33.099323,-96.092391,-0.00,-0.09,1.01
44292,33.099323,-96.092391,0.02,-0.07,0.91
44843,33.099323,-96.092391,0.04,-0.06,1.01
45510,33.099323,-96.092391,0.04,-0.08,0.98
46061,33.099323,-96.092391,0.05,-0.06,1.00
46717,33.099323,-96.092391,0.02,-0.04,1.01
47385,33.099323,-96.092391,0.04,0.02,0.96
47936,33.099323,-96.092391,-0.06,-0.02,1.07
48605,33.099323,-96.092391,-0.07,0.03,0.99
49155,33.099323,-96.092391,-0.10,0.00,1.00
49734,33.099323,-96.092391,-0.14,0.01,0.97
50402,33.099323,-96.092391,-0.11,0.01,0.97
50953,33.099323,-96.092391,-0.12,-0.04,0.99
51621,33.099323,-96.092391,-0.10,-0.10,1.01
52288,33.099323,-96.092391,-0.16,-0.17,1.00
52839,33.099323,-96.092391,-0.20,-0.18,0.85
53508,33.099323,-96.092391,-0.17,-0.18,0.91
54057,33.099323,-96.092391,-0.13,-0.12,1.02
54720,33.099323,-96.092391,-0.18,-0.16,1.00
55388,33.099323,-96.092391,-0.17,-0.09,0.98
55939,33.099323,-96.092391,0.00,-0.11,0.99
56619,33.099323,-96.092391,0.12,-0.06,0.94
57200,33.099323,-96.092391,0.26,-0.09,0.95
57751,33.099323,-96.092391,0.35,-0.11,0.98
